Dataset,Algorithm,Run_ID,Best_Precision,N_Features,Time_s
zoo,Tabu,28,0.9352878209168117,5,74.58054685592651
zoo,Tabu,29,0.9373572341628253,9,73.49865221977234
zoo,Tabu,30,0.9346262605971274,12,74.52839994430542
zoo,PSO,1,0.9340567742868621,11,75.38643765449524
zoo,PSO,2,0.9341349177269556,11,76.49064755439758
zoo,PSO,3,0.9360432036832661,7,75.27009153366089
zoo,PSO,4,0.9378971418812844,7,68.00281262397766
zoo,PSO,5,0.9359394106113877,7,73.09873795509338
zoo,PSO,6,0.9330985146345864,13,72.93385457992554
zoo,PSO,7,0.9346408423306016,8,74.166100025177
zoo,PSO,8,0.9363890556182018,10,77.34216284751892
zoo,PSO,9,0.9349636038862366,9,71.8640878200531
zoo,PSO,10,0.933216425115841,9,71.10063552856445
zoo,PSO,11,0.9397397037376761,7,69.87400007247925
zoo,PSO,12,0.9332820045134703,13,77.38696789741516
zoo,PSO,13,0.9350749826656921,9,73.0661849975586
zoo,PSO,14,0.934075584090904,11,75.00747418403625
zoo,PSO,15,0.9378971418812844,7,70.99663805961609
zoo,PSO,16,0.9327115359781335,7,69.51049137115479
zoo,PSO,17,0.9347157562326387,9,71.58979201316833
zoo,PSO,18,0.9351556289130323,10,73.98917555809021
zoo,PSO,19,0.9355625920964344,8,71.45379710197449
zoo,PSO,20,0.9330162452980596,10,77.1858446598053
zoo,PSO,21,0.9336565203599398,8,71.65261578559875
zoo,PSO,22,0.9345130152102182,10,69.09544897079468
zoo,PSO,23,0.9340131905065514,6,69.29054808616638
zoo,PSO,24,0.9350895552392714,7,68.64492607116699
zoo,PSO,25,0.9359769927809128,10,75.71624302864075
zoo,PSO,26,0.9334309161946067,13,75.49026799201965
zoo,PSO,27,0.9351003887041361,9,74.42231512069702
zoo,PSO,28,0.9347157562326387,9,74.94568991661072
zoo,PSO,29,0.9355625920964344,8,69.91458773612976
zoo,PSO,30,0.9353556526957542,10,75.03165459632874
zoo,GWO,1,0.9344718426924099,6,53.148757457733154
zoo,GWO,2,0.9397397037376761,7,62.61779832839966
zoo,GWO,3,0.9323829605116425,4,53.572774171829224
zoo,GWO,4,0.9358185400065158,12,86.4053008556366
zoo,GWO,5,0.9397397037376761,7,70.36470675468445
zoo,GWO,6,0.9375782359200899,7,71.85037422180176
zoo,GWO,7,0.9344993653131252,5,55.99126148223877
zoo,GWO,8,0.9397397037376761,7,63.15262317657471
zoo,GWO,9,0.934437776356002,9,64.87002372741699
zoo,GWO,10,0.932398332978775,8,62.81573462486267
zoo,GWO,11,0.9344993653131252,5,55.644964933395386
zoo,GWO,12,0.9352396300761584,7,69.90548348426819
zoo,GWO,13,0.9378971418812844,7,60.73438811302185
zoo,GWO,14,0.9336631274841581,6,53.809911012649536
zoo,GWO,15,0.9365057653803517,6,53.5747594833374
zoo,GWO,16,0.9332573975932867,5,49.1033079624176
zoo,GWO,17,0.935192856793822,8,78.29269027709961
zoo,GWO,18,0.935192856793822,8,79.7807936668396
zoo,GWO,19,0.9376537590315233,8,60.80906438827515
zoo,GWO,20,0.9341770865415864,7,76.69651007652283
zoo,GWO,21,0.93494228788389,11,78.67004776000977
zoo,GWO,22,0.9364123165144262,5,62.4045729637146
zoo,GWO,23,0.9344961330035744,10,74.46277046203613
zoo,GWO,24,0.938213355151151,8,66.06243920326233
zoo,GWO,25,0.9359769927809128,10,78.12395691871643
zoo,GWO,26,0.9330438427237648,9,71.1882266998291
zoo,GWO,27,0.9336586271411381,5,44.764992475509644
zoo,GWO,28,0.9336575381073585,9,65.58615922927856
zoo,GWO,29,0.9326272789596843,6,52.224783182144165
zoo,GWO,30,0.9349960260278203,10,79.22758316993713
wine,GA,1,0.9670485625485625,8,25.794421911239624
wine,GA,2,0.962605339105339,7,25.869788646697998
wine,GA,3,0.9660452945747063,5,25.21324634552002
wine,GA,4,0.9670485625485625,8,25.896451711654663
wine,GA,5,0.9670485625485625,8,25.70452618598938
wine,GA,6,0.9660452945747063,5,25.54270911216736
wine,GA,7,0.9670485625485625,8,25.715492963790894
wine,GA,8,0.9670485625485625,8,25.89458465576172
wine,GA,9,0.9670485625485625,8,25.61948561668396
wine,GA,10,0.9670485625485625,8,25.94681692123413
wine,GA,11,0.9670485625485625,8,25.39535880088806
wine,GA,12,0.9670485625485625,8,25.73927140235901
wine,GA,13,0.962605339105339,7,26.04029107093811
wine,GA,14,0.9670485625485625,8,25.55792808532715
wine,GA,15,0.9670485625485625,8,26.080029487609863
wine,GA,16,0.9670485625485625,8,26.35350728034973
wine,GA,17,0.9670485625485625,8,26.188565254211426
wine,GA,18,0.9660452945747063,5,25.834336519241333
wine,GA,19,0.9670485625485625,8,26.266024589538574
wine,GA,20,0.9670485625485625,8,26.246206283569336
wine,GA,21,0.9670485625485625,8,26.322329998016357
wine,GA,22,0.9670485625485625,8,26.263099431991577
wine,GA,23,0.962605339105339,7,26.399576663970947
wine,GA,24,0.9670485625485625,8,26.39989995956421
wine,GA,25,0.9670485625485625,8,26.269139289855957
wine,GA,26,0.9670485625485625,8,26.369404315948486
wine,GA,27,0.9670485625485625,8,26.345627784729004
wine,GA,28,0.9660300440300441,8,26.089651823043823
wine,GA,29,0.9670485625485625,8,26.329859256744385
wine,GA,30,0.9660452945747063,5,25.77553367614746
wine,SA,1,0.9660300440300441,8,28.755001306533813
wine,SA,2,0.9498319590462447,6,28.510512828826904
wine,SA,3,0.9624102194102193,7,28.815593719482422
wine,SA,4,0.957467032967033,6,27.85239887237549
wine,SA,5,0.9568597513597513,7,28.566518545150757
wine,SA,6,0.9660300440300441,8,28.43831467628479
wine,SA,7,0.9660300440300441,8,28.902601957321167
wine,SA,8,0.9660300440300441,8,28.703346014022827
wine,SA,9,0.9595062345062344,5,28.53442406654358
wine,SA,10,0.9560452945747063,5,28.882208108901978
wine,SA,11,0.9547313427313426,8,28.92000937461853
wine,SA,12,0.9660452945747063,5,28.27140712738037
wine,SA,13,0.9660452945747063,5,28.091977834701538
wine,SA,14,0.9595062345062344,5,27.554826259613037
wine,SA,15,0.9619018389018388,7,27.874440908432007
wine,SA,16,0.9660452945747063,5,28.13908576965332
wine,SA,17,0.9577341269841269,6,27.58155870437622
wine,SA,18,0.9660452945747063,5,28.215555906295776
wine,SA,19,0.9474812409812411,4,27.050013065338135
wine,SA,20,0.9568597513597513,7,27.78528666496277
wine,SA,21,0.9594047619047619,5,27.25800371170044
wine,SA,22,0.9670485625485625,8,28.421814918518066
wine,SA,23,0.9507484367484367,6,27.83651876449585
wine,SA,24,0.9609018389018388,8,28.045371294021606
wine,SA,25,0.9670485625485625,8,27.78795576095581
wine,SA,26,0.9670485625485625,8,28.057390689849854
wine,SA,27,0.957467032967033,6,27.54942035675049
wine,SA,28,0.9595062345062344,5,27.25186562538147
